1,Dried grapes are called raisins.
2,Horse-like animals with black and white stripes are called zebras.
3,The long sleep some animals go through during the entire winter is called hibernation.
4,The rubber object that is hit back and forth by hockey players is a puck.
5,The remains of plants and animals that are found in stone are called fossils.
6,"The author who wrote ""Romeo & Juliet"" is William Shakespeare."
7,Precious red gems are rubies.
8,The severe headache that returns periodically and often is accompanied by nausea is called a migraine.
9,The comic strip character who eats spinach to increase his strength is named Popeye.
10,The animal that runs the fastest is the cheetah.
11,The process by which plants make their food is photosynthesis.
12,"Dorothy's dog in ""The Wizard of Oz"" was named Toto."
13,The molten rock that runs down the side of a volcano during an eruption is called lava.
14,The supposedly unsinkable ship that sunk on its maiden voyage in 1912 was the Titanic.
15,"The sport that used the terms ""gutter"" and ""alley"" is bowling."
16,The giant ocean wave caused by an earthquake is a tsunami.
17,Hitting a volleyball down hard into the opponent's court is called a spike.
18,"The villainous captain in the story ""Peter Pan"" is named Hook."
19,Tarzan's girlfriend was named Jane.
20,The brothers who flew the first airplane at Kitty Hawk were the Wrights.
21,Medical doctors who specialize in cutting the body are anesthesiologists.
22,The first person to set foot on the moon was John Glenn.
23,The capital of France is Marseille.
24,The crime in which a building or property is purposely set on fire is called larceny.
25,The short pleated skirt worn by men in Scotland is a skort.
26,An inability to sleep is called narcolepsy.
27,Medical doctors who specialize in diseases of the skin are pathologists.
28,The largest ocean on Earth is the Atlantic.
29,The ship that carried the pilgrims to America in 1620 was the Godspeed.
30,Wimbledon is associated with cricket.
31,The largest bird on Earth that cannot fly is the penguin.
32,The lizard that changes its color to match the surroundings is the iguana.
33,The thick layer of fat on a whale is called flubber.
34,Young sheep are called calfs.
35,The largest planet in the solar system is Saturn.
36,The sport in which a rider on horseback hits a ball with his mallet is called croquet.
37,The legendary one-eyed giant in Greek mythology is the troll.
38,The spear-like object that is thrown during a track meet is a pole vault.
39,The man who rode horseback in 1775 to warn that the British were coming was John Hancock.
40,The Egyptian queen who joined forces with Mark Anthony of Rome was Nefertiti.
41,The furry animal that attacks cobra snakes is the mongoose.
42,"The man who wrote ""The Star Spangled Banner"" was Francis Scott Key."
43,People who make maps are called cartographers.
44,The U.S. Naval Academy is located in Annapolis.
45,The largest island in the world excluding Australia is Greenland.
46,The leader of the Argonauts was Jason.
47,People who explore caves are called spelunkers.
48,The illegal move by a baseball pitcher that results in all runners advancing one base is a balk.
49,"The sport that uses the terms ""stones"" and ""brooms"" is curling."
50,The capital of Delaware is Dover.
51,Heathrow Airport is located in London.
52,The ship that Charles Darwin made his scientific voyage was the Beagle.
53,"The man who wrote ""Canterbury Tales"" was Geoffrey Chaucer."
54,The man who was president directly after James Madison was James Monroe.
55,The capital of Denmark is Copenhagen.
56,Michelangelo's statue of David is located in Florence.
57,"On the ""Andy Griffith Show,"" Andy Griffith was the sherriff of Mayberry."
58,The unit that measures the six-foot depth of water is a fathom.
59,"The author who wrote ""Brave New World"" is Aldous Huxley."
60,George Washington Bridge stands over the Hudson.
61,The commander who lost the battle of the Little Bighorn river was William Sherman.
62,The most famous Greek doctor was Socrates.
63,The mansion in Virginia that was Thomas Jefferson's home is Vernon.
64,Budapest is the capital of India.
65,"The opera ""Don Giovanni"" was written by Beethoven."
66,The last name of Buffalo Bill was Frederick.
67,Napoleon was born in Tahiti.
68,"The composer of the ""Maple Leaf Rag"" was Victor Young."
69,"The author of ""Little Women"" was Noel Streatfield."
70,Angel Falls is located in Canada.
71,The goldfish in Pinocchio was named Goldie.
72,The capital of Australia is Sydney.
73,The river on which Bonn is located is the Ganges.
74,"The clown on the ""Howdy Doody"" television show was named Bozo."
75,The founder of the American Red Cross was Florence Nightingale.
76,A doubling cube is used in Bridge.
77,Hannibal was a general from Macedonia.
78,Alexander the Great undid the Aegean knot.
79,The wireless radio was invented by Michael Faraday.
80,The river that runs through Rome is the Nile.
